ID,BID,ASK,DATE
AUDUSD,0.9314,0.93158,20140814205106,
NZDUSD,0.84954,0.84984,20140814205106,
HKDJPY,13.202,13.232,20140814205106,
EURGBP,0.80172,0.8019,20140814205106,
EURAUD,1.43597,1.4362,20140814205106,
USDCHF,0.90613,0.90631,20140814205106,
EURCHF,1.21215,1.21233,20140814205106,
GBPCHF,1.51174,1.51204,20140814205106,
AUDCHF,0.844,0.8443,20140814205106,
CADCHF,0.83149,0.83209,20140814205106,
USDHKD,7.75097,7.75127,20140814205106,
USDJPY,102.441,102.445,20140814205212,
EURJPY,137.022,137.032,20140814205212,
AUDJPY,95.425,95.434,20140814205212,
GBPJPY,170.898,170.916,20140814205212,
NZDJPY,87.053,87.071,20140814205212,
CADJPY,94.018,94.042,20140814205212,
CHFJPY,113.029,113.053,20140814205212,
ZARJPY,9.68,9.699,20140814205212,
CNHJPY,16.637,16.667,20140814205212,
EURUSD,1.33761,1.33769,20140814205212,
GBPUSD,1.66819,1.66844,20140814205212,
AUDUSD,0.93141,0.93159,20140814205212,
NZDUSD,0.84956,0.84986,20140814205212,
HKDJPY,13.201,13.231,20140814205212,
EURGBP,0.8017,0.80188,20140814205212,
EURAUD,1.43588,1.43611,20140814205212,
USDCHF,0.90615,0.90633,20140814205212,
EURCHF,1.21212,1.2123,20140814205212,
GBPCHF,1.51175,1.51205,20140814205212,
AUDCHF,0.84404,0.84434,20140814205212,
CADCHF,0.83152,0.83212,20140814205212,
USDHKD,7.75097,7.75127,20140814205212,
USDJPY,102.431,102.435,20140814205318,
EURJPY,137.009,137.019,20140814205318,
AUDJPY,95.421,95.43,20140814205318,
GBPJPY,170.88,170.898,20140814205318,
NZDJPY,87.052,87.07,20140814205318,
CADJPY,94.01,94.034,20140814205318,
CHFJPY,113.026,113.05,20140814205318,
ZARJPY,9.679,9.698,20140814205318,
CNHJPY,16.636,16.666,20140814205318,
EURUSD,1.33761,1.33769,20140814205318,
GBPUSD,1.66818,1.66843,20140814205318,
AUDUSD,0.93147,0.93165,20140814205318,
NZDUSD,0.84967,0.84997,20140814205318,
HKDJPY,13.2,13.23,20140814205318,
EURGBP,0.80172,0.8019,20140814205318,
EURAUD,1.43579,1.43602,20140814205318,
USDCHF,0.90609,0.90627,20140814205318,
EURCHF,1.21208,1.21226,20140814205318,
GBPCHF,1.51165,1.51195,20140814205318,
AUDCHF,0.84402,0.84432,20140814205318,
CADCHF,0.83146,0.83206,20140814205318,
USDHKD,7.75097,7.75127,20140814205318,
USDJPY,102.432,102.436,20140814205426,
EURJPY,137.009,137.019,20140814205426,
AUDJPY,95.422,95.431,20140814205426,
GBPJPY,170.872,170.89,20140814205426,
CADJPY,94.01,94.034,20140814205426,
NZDJPY,87.054,87.072,20140814205426,
CHFJPY,113.025,113.049,20140814205426,
ZARJPY,9.675,9.694,20140814205426,
CNHJPY,16.636,16.666,20140814205426,
EURUSD,1.33759,1.33767,20140814205426,
GBPUSD,1.66807,1.66832,20140814205426,
AUDUSD,0.93146,0.93164,20140814205426,
NZDUSD,0.84968,0.84998,20140814205426,
HKDJPY,13.2,13.23,20140814205426,
EURGBP,0.80173,0.80191,20140814205426,
EURAUD,1.43579,1.43602,20140814205426,
USDCHF,0.90611,0.90629,20140814205426,
EURCHF,1.21206,1.21224,20140814205426,
GBPCHF,1.51161,1.51191,20140814205426,
AUDCHF,0.84402,0.84432,20140814205426,
CADCHF,0.83146,0.83206,20140814205426,
USDHKD,7.75097,7.75127,20140814205426,
USDJPY,102.439,102.443,20140814205532,
EURJPY,137.009,137.019,20140814205532,
AUDJPY,95.424,95.433,20140814205532,
GBPJPY,170.879,170.897,20140814205532,
NZDJPY,87.054,87.072,20140814205532,
CADJPY,94.012,94.036,20140814205532,
CHFJPY,113.019,113.043,20140814205532,
ZARJPY,9.674,9.693,20140814205532,
CNHJPY,16.637,16.667,20140814205532,
EURUSD,1.33745,1.33753,20140814205532,
GBPUSD,1.66796,1.66821,20140814205532,
AUDUSD,0.9314,0.93158,20140814205532,
NZDUSD,0.84957,0.84987,20140814205532,
HKDJPY,13.202,13.232,20140814205532,
EURGBP,0.8017,0.80188,20140814205532,
EURAUD,1.43574,1.43597,20140814205532,
USDCHF,0.90624,0.90642,20140814205532,
EURCHF,1.2121,1.21228,20140814205532,
GBPCHF,1.51174,1.51204,20140814205532,
AUDCHF,0.8441,0.8444,20140814205532,
CADCHF,0.83154,0.83214,20140814205532,
